Unnamed: 0,Vmag,Plx,e_Plx,B-V,SpType,StarType
62335,8.63,4.29,1.24,0.379,F0V,Dwarf
62336,9.52,8.72,2.36,0.541,F5V,Dwarf
62337,8.76,8.49,1.09,0.397,F0V,Dwarf
62338,9.27,1.78,1.34,1.296,K1/K2III:,Giant
62339,10.18,5.2,1.8,0.581,F8,Unknown
62340,6.11,13.41,0.93,0.122,A3V,Dwarf
62341,8.65,4.87,2.09,0.4,F2,Unknown
62342,9.94,5.0,1.61,0.537,F2V,Dwarf
62343,8.46,3.78,1.28,1.169,K0,Unknown
62344,10.05,5.3,3.42,0.49,F8,Unknown
62345,7.34,2.38,0.91,1.338,K2,Unknown
62346,11.98,-2.25,2.86,4.4,C0,Unknown
62347,9.88,5.93,1.33,0.57,A6:m...,Unknown
62348,5.88,15.85,0.52,0.215,A9V,Dwarf
62349,8.52,27.81,1.45,0.798,K0V,Dwarf
62350,8.41,4.29,1.31,1.097,G5,Unknown
62351,7.66,5.22,0.86,0.866,K0,Unknown
62352,9.86,34.19,1.61,1.274,K4V,Dwarf
62353,9.61,4.22,1.44,0.572,F8/G0V,Dwarf
62354,7.23,14.53,0.95,0.674,G3V,Dwarf
62355,8.81,8.2,1.28,0.74,G0,Unknown
62356,8.82,11.91,1.23,0.637,G3V,Dwarf
62357,11.5,9.34,3.04,0.612,Unknown,Unknown
62358,9.4,9.69,1.42,0.595,G3V,Dwarf
62359,7.99,3.27,1.04,1.047,K0III,Giant
62360,7.78,6.07,0.96,0.4,F2III/IV,Giant
62361,9.73,2.58,1.72,0.296,A1V,Dwarf
62362,8.96,2.79,2.43,0.909,G5III,Giant
62363,9.2,1.98,1.14,1.046,K0,Unknown
62364,9.26,2.98,1.4,1.284,K2,Unknown
62365,8.93,2.19,1.16,1.118,K2,Unknown
62366,9.52,1.76,1.5,0.951,G5,Unknown
62367,6.27,15.09,0.77,0.538,F7V,Dwarf
62368,7.42,2.0,0.88,1.538,K2,Unknown
62369,5.43,4.19,0.53,1.567,K5III,Giant
62370,11.05,19.11,5.88,0.634,G0,Unknown
62371,9.02,2.58,1.25,1.353,K2III,Giant
62372,8.68,2.82,0.85,0.098,B9V,Dwarf
62373,9.28,7.81,1.36,0.454,F8,Unknown
62374,6.95,8.33,0.72,0.261,F0III,Giant
62375,7.56,1.87,0.67,1.53,K4III,Giant
62376,9.89,6.89,1.61,0.652,G0,Unknown
62377,8.02,6.87,1.33,0.379,F0,Unknown
62378,8.15,1.11,0.97,1.513,M3/M4III,Giant
62379,7.66,12.58,0.93,0.488,F6V,Dwarf
62380,1.25,9.25,0.61,-0.238,B0.5III,Giant
62381,9.7,19.46,1.49,0.999,K5,Unknown
62382,8.4,0.76,1.08,1.634,K4/K5III,Giant
62383,6.82,15.36,0.74,0.387,F0,Unknown
62384,7.25,11.79,0.93,0.369,F0,Unknown
62385,7.73,16.97,0.86,0.505,F8V,Dwarf
62386,9.9,5.9,3.05,0.558,F8,Unknown
62387,8.07,0.34,1.05,1.38,K0,Unknown
62388,8.05,2.45,1.31,0.99,K0,Unknown
62389,6.42,5.68,0.79,1.596,M4III,Giant
62390,9.63,1.79,1.42,0.916,K0,Unknown
62391,9.52,6.61,1.54,0.796,G8/K0V,Dwarf
62392,8.16,0.44,1.16,1.32,K2,Unknown
62393,6.81,6.48,0.82,1.045,K0III,Giant
62394,6.43,3.82,0.83,-0.058,B8V,Dwarf
62395,8.85,1.28,1.32,1.56,K5,Unknown
62396,8.11,6.72,0.91,0.311,F2V,Dwarf
62397,8.44,1.15,0.8,0.028,B6V,Dwarf
62398,11.39,121.78,2.9,1.563,M4,Unknown
62399,8.1,11.46,1.16,0.553,G5,Unknown
62400,11.38,24.14,2.4,1.567,K5,Unknown
62401,7.25,6.53,0.66,1.263,K3II-III,Giant
62402,7.2,5.31,1.05,0.924,G8III,Giant
62403,9.11,9.98,1.69,0.63,G0,Unknown
62404,8.67,5.18,1.35,0.355,F0,Unknown
62405,6.91,6.04,0.78,0.957,K0,Unknown
62406,9.42,9.99,1.39,0.675,G5V,Dwarf
62407,8.76,2.13,0.97,0.962,G6III,Giant
62408,11.4,6.4,3.07,1.332,K3,Unknown
62409,8.14,3.54,1.14,1.086,K1III,Giant
62410,8.68,2.18,0.88,0.008,B9III,Giant
62411,9.34,3.87,1.59,1.491,K5,Unknown
62412,7.96,5.2,1.68,-0.1,F5,Unknown
62413,8.22,13.71,1.12,0.611,G3V,Dwarf
62414,7.99,11.71,0.85,0.553,F8,Unknown
62415,10.59,0.63,2.17,1.043,Gp,Unknown
62416,8.74,2.98,1.1,1.185,K0III,Giant
62417,9.9,53.29,9.2,1.38,K0,Unknown
62418,9.39,4.13,1.24,0.461,G0,Unknown
62419,8.9,50.31,3.19,1.149,K4/K5V,Dwarf
62420,9.1,10.98,1.5,0.717,G5V,Dwarf
62421,10.0,3.39,1.71,1.006,G9III,Giant
62422,6.88,5.72,0.69,0.94,G5,Unknown
62423,9.2,8.61,1.37,0.52,G5,Unknown
62424,6.47,8.01,0.87,0.015,A1V,Dwarf
62425,7.66,2.5,1.04,1.115,K0III,Giant
62426,8.99,4.71,1.26,0.381,F2,Unknown
62427,9.69,9.05,1.42,0.639,G2V,Dwarf
62428,6.88,4.1,0.83,-0.018,B9V,Dwarf
62429,7.57,10.24,1.66,0.188,A3III/IV,Giant
62430,7.41,3.63,0.89,1.428,K4III,Giant
62431,7.64,3.3,0.89,1.611,M0,Unknown
62432,8.57,0.04,1.26,1.612,M1III,Giant
62433,8.88,12.58,1.04,0.522,G5,Unknown
62434,8.74,9.33,3.91,0.475,Unknown,Unknown
62435,7.93,9.15,1.18,0.418,F5,Unknown
62436,8.65,1.42,1.19,1.15,G9III,Giant
62437,8.62,-0.44,1.36,1.252,K1III,Giant
62438,8.02,14.05,1.05,0.502,F7V,Dwarf
62439,8.77,2.5,1.34,0.371,F0III,Giant
62440,8.16,0.73,1.0,1.54,K2,Unknown
62441,9.9,2.14,1.82,1.217,G5,Unknown
62442,10.66,1.96,1.7,0.389,Unknown,Unknown
62443,8.72,7.15,1.18,0.466,F0,Unknown
62444,9.22,4.31,1.31,0.29,F3V,Dwarf
62445,8.71,9.85,1.27,0.555,F8V,Dwarf
62446,5.65,10.73,0.74,0.947,G8III,Giant
62447,10.85,4.52,1.86,0.87,G8III,Giant
62448,7.49,2.1,0.7,1.427,K2,Unknown
62449,8.32,-0.07,1.14,1.02,K0,Unknown
62450,8.26,4.61,1.01,1.16,K0III,Giant
62451,7.93,47.19,1.93,0.946,K2V,Dwarf
62452,7.98,1.52,1.12,1.005,K0III,Giant
62453,8.77,10.11,1.14,0.6,G1V,Dwarf
62454,9.0,5.79,1.22,1.023,K1IV,Giant
62455,9.31,19.94,1.66,0.743,G5,Unknown
62456,8.65,3.61,1.21,1.14,K2,Unknown
62457,8.53,9.96,1.05,0.622,G1V,Dwarf
62458,5.83,41.39,3.2,0.467,F5V,Dwarf
62459,11.31,5.93,1.83,0.612,G,Unknown
62460,9.67,-0.33,1.88,1.014,G6/G8II/III,Giant
62461,6.25,7.04,0.66,0.195,A6m,Unknown
62462,8.56,6.02,0.96,0.419,F8,Unknown
62463,8.81,1.91,1.5,0.807,G0,Unknown
62464,10.18,5.65,2.17,1.38,M6III,Giant
62465,8.88,5.18,1.4,1.16,K0,Unknown
62466,9.09,5.19,1.33,0.505,F5,Unknown
62467,8.73,3.02,1.18,1.158,K0III,Giant
62468,8.82,1.41,1.17,-0.031,B9III,Giant
62469,6.29,58.23,0.99,0.703,G7V,Dwarf
62470,7.87,2.25,1.01,1.3,K2,Unknown
62471,9.71,4.7,1.55,0.466,Unknown,Unknown
62472,8.18,2.62,1.13,1.135,K1III,Giant
62473,8.6,7.96,1.11,0.51,F8,Unknown
62474,7.36,26.32,0.65,0.633,G1V,Dwarf
62475,9.81,2.33,1.55,0.17,A5V,Dwarf
62476,8.72,3.56,1.13,0.51,F8,Unknown
62477,8.58,2.87,1.0,0.352,F0,Unknown
62478,9.16,-0.48,1.25,1.313,K2III,Giant
62479,9.54,1.63,1.45,0.483,F5,Unknown
62480,7.59,34.63,0.8,0.701,G5V,Dwarf
62481,7.79,11.95,1.06,0.584,G0V,Dwarf
62482,7.1,27.61,0.96,0.66,G5V,Dwarf
62483,10.58,3.74,2.02,0.44,F8,Unknown
62484,8.61,9.87,0.97,0.454,F3/F5V,Dwarf
62485,8.45,8.2,1.09,0.443,F5V,Dwarf
62486,9.64,19.27,1.61,0.9,K2,Unknown
62487,5.71,8.1,0.77,0.024,A1V,Dwarf
62488,7.55,7.72,0.62,0.97,G5,Unknown
62489,8.52,3.64,0.88,0.268,A3,Unknown
62490,8.84,16.94,1.23,0.617,G5V,Dwarf
62491,8.68,2.7,1.18,1.0,K0III,Giant
62492,7.83,3.94,0.68,0.246,F0,Unknown
62493,8.86,-0.51,1.36,1.576,K3III:,Giant
62494,10.96,1.41,3.45,0.373,F2,Unknown
62495,8.82,5.94,1.1,0.49,F5,Unknown
62496,8.53,6.39,0.99,0.447,G0,Unknown
62497,7.55,7.45,0.98,1.141,K2III,Giant
62498,9.86,5.32,1.08,0.345,F0,Unknown
62499,7.97,5.66,0.97,1.212,K2IIICN...,Giant
62500,8.18,0.16,1.03,1.402,K2IV,Giant
62501,7.22,0.8,0.97,0.005,B6IV,Giant
62502,10.94,98.14,1.67,1.626,M4,Unknown
62503,8.23,2.17,1.06,0.205,A2/A3III,Giant
62504,7.74,5.86,0.78,0.56,F5III,Giant
62505,9.87,5.63,1.65,0.625,F8,Unknown
62506,9.07,5.25,2.6,0.618,F3IV/V,Giant
62507,5.92,14.68,6.92,0.015,A0V,Dwarf
62508,7.85,5.85,0.96,0.536,F5IV,Giant
62509,9.6,7.22,1.71,0.728,G5,Unknown
62510,9.06,2.82,1.23,0.504,F0IV,Giant
62511,8.89,2.86,1.14,1.097,K2,Unknown
62512,8.09,1.89,0.91,-0.106,B5IV,Giant
62513,9.47,4.93,1.2,0.414,F0,Unknown
62514,8.6,5.65,1.24,0.303,F0V,Dwarf
62515,10.45,1.72,2.0,1.06,K0III,Giant
62516,10.8,0.59,2.21,0.49,F5,Unknown
62517,7.98,2.34,1.12,1.583,K2/3III:+B/A,Giant
62518,5.38,10.75,1.74,0.033,A1IIIsh,Giant
62519,10.53,2.64,1.81,0.558,F8,Unknown
62520,9.19,6.64,1.37,0.173,A3,Unknown
62521,8.03,4.63,0.93,1.235,K3III,Giant
62522,5.76,9.97,0.84,0.051,A2V,Dwarf
62523,10.31,9.45,1.51,0.56,G0,Unknown
62524,8.8,8.08,0.94,0.496,F8,Unknown
62525,9.17,3.02,1.36,0.46,F2,Unknown
62526,6.89,5.52,1.06,1.096,K2III,Giant
62527,9.52,-0.6,0.99,1.717,M2,Unknown
62528,8.97,7.18,1.37,0.54,F6V,Dwarf
62529,8.01,11.96,0.96,0.627,G3V,Dwarf
62530,7.56,17.71,1.19,0.579,F8,Unknown
62531,8.34,3.93,1.55,0.417,F2/F3V,Dwarf
62532,10.71,-2.6,1.79,0.898,G7III,Giant
62533,7.76,0.14,0.68,0.001,B2III,Giant
62534,8.51,2.22,0.93,1.83,M1III,Giant
62535,8.3,3.92,1.24,1.4,K3IV,Giant
62536,7.2,5.46,0.57,0.2,A4IV,Giant
62537,7.54,7.48,1.01,0.471,F3IV,Giant
62538,8.78,2.67,1.29,1.134,K2III,Giant
62539,9.97,4.96,1.6,0.96,K0III,Giant
62540,8.56,3.51,1.13,0.209,A7V,Dwarf
62541,8.18,2.16,0.98,1.155,K0II,Giant
62542,8.04,13.51,2.75,0.568,G0+...,Unknown
62543,7.68,5.65,1.08,0.9,K0,Unknown
62544,9.02,12.73,0.87,0.69,G5,Unknown
62545,8.5,1.61,1.25,1.411,K4III,Giant
62546,6.5,6.56,0.69,1.135,K1III,Giant
62547,9.29,2.71,1.66,0.93,K0,Unknown
62548,9.61,0.27,1.39,1.409,M0,Unknown
62549,8.08,3.84,1.09,1.074,K0III,Giant
62550,9.29,1.0,1.24,0.921,K0,Unknown
62551,7.73,6.15,0.94,0.106,A0,Unknown
62552,9.52,10.43,2.96,0.614,G1V,Dwarf
62553,8.13,30.12,0.91,0.686,G8V,Dwarf
62554,5.55,6.2,0.54,1.154,G8Ib/II,Giant
62555,9.25,1.97,1.26,1.09,K0III,Giant
62556,6.63,3.56,0.99,1.488,K4III,Giant
62557,6.97,2.72,0.97,1.516,M3/M4III,Giant
62558,8.75,1.6,1.0,0.9,K0,Unknown
62559,8.59,2.39,1.32,1.604,K4/K5III:,Giant
62560,6.87,4.23,0.89,1.062,K0III,Giant
62561,9.92,4.99,1.53,0.36,F5,Unknown
62562,8.47,5.01,1.13,0.249,A7IV,Giant
62563,12.67,1.71,5.41,0.612,Gp...,Unknown
62564,6.93,4.78,0.84,1.36,K3III,Giant
62565,9.18,5.72,1.3,0.443,F8,Unknown
62566,8.68,6.41,1.08,1.01,K0III,Giant
62567,7.99,4.56,1.22,1.03,K0/K1III,Giant
62568,8.83,2.71,1.27,1.671,M1/M2III,Giant
62569,11.18,4.63,1.1,0.612,K7,Unknown
62570,7.6,2.61,0.79,0.17,B9.5IV,Giant
62571,8.82,1.23,1.01,1.053,G8III,Giant
62572,9.96,8.62,1.65,0.726,G0,Unknown
62573,10.04,19.87,1.16,0.995,Unknown,Unknown
62574,10.11,8.79,1.43,0.537,G0,Unknown
62575,9.77,6.85,2.58,0.301,A2V,Dwarf
62576,8.68,0.78,0.86,1.337,K0,Unknown
62577,7.18,1.43,0.68,1.372,K2,Unknown
62578,8.25,10.48,1.05,0.707,G5,Unknown
62579,8.34,2.19,1.03,1.167,K2,Unknown
62580,8.5,4.25,1.08,0.49,F6IV,Giant
62581,9.65,1.96,1.22,0.375,F5,Unknown
62582,6.99,20.64,0.9,0.432,F5,Unknown
62583,10.45,10.09,1.87,0.796,G0,Unknown
62584,9.53,2.19,1.42,0.99,G8III,Giant
62585,8.42,11.96,1.0,0.533,F8V,Dwarf
62586,7.54,3.08,0.95,1.495,K4III,Giant
62587,5.87,8.43,0.73,0.17,A3V,Dwarf
62588,10.66,3.57,2.85,0.156,B9IV/V,Giant
62589,8.19,9.44,1.18,0.635,G2/G3V,Dwarf
62590,8.91,1.97,0.88,1.067,K0,Unknown
62591,9.25,15.16,1.25,0.678,G3/G5IV/V,Giant
62592,6.73,1.37,0.72,0.348,A5II,Giant
62593,10.66,25.08,2.22,1.265,Unknown,Unknown
62594,9.39,6.2,1.35,0.54,F8,Unknown
62595,9.52,2.09,1.42,0.497,F5V,Dwarf
62596,10.3,4.19,1.8,0.468,F5,Unknown
62597,6.61,4.23,0.7,1.4,K3III,Giant
62598,9.32,11.6,1.44,0.652,G0,Unknown
62599,6.43,7.49,0.94,1.002,K0III,Giant
62600,8.31,4.87,1.06,1.45,K4III,Giant
62601,6.26,5.71,0.74,0.046,A0V,Dwarf
62602,7.96,3.8,1.0,1.238,K1IIICN...,Giant
62603,8.91,9.45,1.24,0.502,F5/F6V,Dwarf
62604,7.8,0.67,0.89,0.467,F2II,Giant
62605,8.49,15.23,1.09,0.676,G5V,Dwarf
62606,7.61,19.56,0.96,0.603,G0V,Dwarf
62607,7.32,3.7,1.16,1.071,G5,Unknown
62608,9.23,8.73,0.94,0.546,F6/F7V,Dwarf
62609,8.94,10.99,1.51,0.66,G0,Unknown
62610,8.88,0.19,1.11,1.522,K5,Unknown
62611,7.96,15.18,1.0,0.48,F6IV,Giant
62612,9.95,3.67,1.69,0.413,F5,Unknown
62613,8.82,0.97,0.95,1.59,K7,Unknown
62614,7.31,2.15,0.93,1.332,K2III,Giant
62615,8.65,7.78,1.03,0.377,F0V,Dwarf
62616,8.45,7.45,1.02,0.444,F3V,Dwarf
62617,8.2,3.95,0.74,0.117,B9.5V,Dwarf
62618,8.59,6.76,1.15,0.441,F5,Unknown
62619,10.27,4.54,1.73,0.42,F8,Unknown
62620,12.24,3.73,2.58,0.612,Unknown,Unknown
62621,8.44,3.73,2.58,1.556,K4/K5III:,Giant
62622,9.16,6.76,1.19,0.437,F5,Unknown
62623,9.36,5.46,1.94,0.535,F0/F2V:,Dwarf
62624,8.17,2.69,1.02,0.94,G8III,Giant
62625,9.52,3.54,1.57,0.491,F0V,Dwarf
62626,7.08,3.17,0.77,1.53,K5III,Giant
62627,8.35,14.19,1.11,0.662,G5V,Dwarf
62628,8.67,0.41,1.02,1.323,K1/K2III:,Giant
62629,4.9,8.39,0.83,-0.031,B9V,Dwarf
62630,7.52,4.99,0.86,1.035,K0III,Giant
62631,9.84,3.31,1.52,0.481,F2,Unknown
62632,9.2,27.58,3.39,1.02,K5,Unknown
62633,8.49,92.75,0.96,1.409,M0.5V,Dwarf
62634,10.5,6.6,1.98,0.685,G0,Unknown
62635,8.96,5.03,1.12,0.533,F8,Unknown
62636,9.54,0.54,1.57,0.99,G5,Unknown
62637,8.51,6.72,1.0,0.28,A5IV/V,Giant
62638,9.23,4.08,1.18,0.139,A1IV,Giant
62639,10.22,1.71,1.53,0.59,G0,Unknown
62640,10.76,7.34,2.16,0.476,Unknown,Unknown
62641,7.39,5.72,0.62,0.28,A3,Unknown
62642,9.69,5.09,1.36,0.957,G5,Unknown
62643,8.29,9.46,1.26,0.95,G5,Unknown
62644,8.45,8.08,1.19,0.686,G0,Unknown
62645,8.78,17.28,1.23,0.738,G8IV/V,Giant
62646,9.61,1.71,1.44,1.16,K2III,Giant
62647,8.64,1.81,1.16,1.153,K2,Unknown
62648,9.66,3.36,1.9,0.18,A5,Unknown
62649,5.7,8.53,0.75,0.127,A5V,Dwarf
62650,9.13,1.33,1.48,1.417,K5,Unknown
62651,11.08,5.98,2.02,0.572,F8,Unknown
62652,7.89,13.0,1.01,0.434,F2V,Dwarf
62653,9.52,4.1,1.73,0.961,K0,Unknown
62654,8.19,5.4,1.1,1.08,K0/K1III,Giant
62655,8.76,3.23,1.18,1.35,K1III,Giant
62656,9.34,3.04,1.24,0.315,F0V,Dwarf
62657,8.13,4.83,1.1,0.144,B9.5V,Dwarf
62658,9.24,1.72,1.85,1.206,M2e-M8e,Unknown
62659,8.03,4.39,0.9,0.226,A4III,Giant
62660,7.96,3.79,0.71,0.04,A0,Unknown
62661,9.23,8.97,1.52,0.649,G0,Unknown
62662,10.57,7.29,1.93,0.885,G0,Unknown
62663,8.73,3.86,1.14,0.032,B9V,Dwarf
62664,8.78,0.54,1.17,1.43,K5,Unknown
62665,12.32,4.63,1.1,1.502,M4V,Dwarf
62666,9.39,2.53,1.41,1.089,G8III,Giant
62667,8.47,3.67,1.23,1.175,K1III,Giant
62668,7.24,1.43,0.66,0.091,B8Ia,Giant
62669,9.78,2.15,4.7,0.557,F5/F6V+...,Dwarf
62670,7.22,14.7,0.84,0.441,F6III,Giant
62671,8.96,8.93,1.59,0.6,F5V,Dwarf
62672,8.53,2.56,2.08,0.972,K0/K1III,Giant
62673,9.17,1.18,1.26,0.992,K0,Unknown
62674,8.43,6.33,1.12,0.47,F3V,Dwarf
62675,9.36,-0.11,1.25,1.309,K0,Unknown
62676,9.55,0.96,1.41,0.389,A7IV,Giant
62677,9.16,2.18,1.31,1.124,K1/K2IIICN.,Giant
62678,5.71,1.09,0.62,0.344,A2Iab,Giant
62679,9.69,1.11,1.2,1.254,K5,Unknown
62680,7.69,2.34,0.82,1.58,K5III,Giant
62681,11.06,17.65,2.46,1.094,Unknown,Unknown
62682,8.71,2.35,1.07,0.969,K0III,Giant
62683,11.28,16.52,1.79,1.57,K7,Unknown
62684,7.65,3.59,0.73,1.581,M2,Unknown
62685,9.11,21.75,1.4,0.84,G8V,Dwarf
62686,8.82,5.07,1.4,0.387,F0,Unknown
62687,7.66,7.09,1.14,1.09,G5,Unknown
62688,9.57,6.93,1.44,0.506,F5V,Dwarf
62689,6.48,8.45,0.79,1.03,G8III,Giant
62690,9.44,20.23,1.55,0.841,K0V,Dwarf
62691,8.86,1.81,1.17,0.017,A0V,Dwarf
62692,8.94,8.9,1.05,0.464,F8,Unknown
62693,7.97,3.29,1.11,0.8,G6V,Dwarf
62694,8.32,2.82,1.11,1.13,K0III,Giant
62695,10.85,13.02,5.31,1.204,Unknown,Unknown
62696,7.91,3.34,0.8,1.062,K0III-IV,Giant
62697,10.6,13.14,2.09,0.856,K0,Unknown
62698,9.3,3.46,2.43,0.421,F5V,Dwarf
62699,9.7,2.88,1.61,1.177,K1III,Giant
62700,9.65,6.66,1.17,0.603,G5,Unknown
62701,11.34,-6.16,2.24,1.28,K6,Unknown
62702,7.38,0.41,0.91,1.656,K3III,Giant
62703,6.02,5.6,0.93,1.288,K4III:,Giant
62704,9.09,26.54,1.45,0.889,K1V,Dwarf
62705,9.06,0.84,1.21,1.477,K5,Unknown
62706,8.47,2.4,1.17,1.02,K0,Unknown
62707,8.32,1.63,1.55,1.05,K0,Unknown
62708,10.28,8.88,1.85,0.65,G0,Unknown
62709,4.93,10.62,0.9,0.681,G0III,Giant
62710,8.88,5.5,1.23,0.512,F6IV,Giant
62711,8.95,3.46,1.18,0.32,F0V,Dwarf
62712,8.61,13.16,1.81,0.7,G2/G3V,Dwarf
62713,7.22,1.8,0.91,1.701,M2III,Giant
62714,9.68,5.36,1.5,0.47,F5V,Dwarf
62715,8.14,11.93,1.04,0.71,G5,Unknown
62716,9.54,0.45,1.5,0.112,A0V,Dwarf
62717,8.41,7.97,0.81,0.469,F5,Unknown
62718,10.51,23.19,1.84,1.326,M0,Unknown
62719,6.97,4.01,0.85,-0.055,B8Vp (Si),Dwarf
62720,9.27,0.93,1.29,0.355,A3:mA5-A7,Unknown
62721,9.95,12.19,1.8,0.807,G8V,Dwarf
62722,7.83,17.53,0.85,0.539,F8,Unknown
62723,8.72,8.15,1.24,0.452,G5,Unknown
62724,11.27,9.98,5.69,1.026,K0V,Dwarf
62725,7.55,2.23,1.1,1.464,K4III,Giant
62726,8.58,3.81,1.19,1.217,K2III,Giant
62727,7.75,-12.61,3.97,0.561,F8IV,Giant
62728,8.18,7.46,0.77,0.331,A5,Unknown
62729,7.29,-12.61,3.97,0.569,A8IVp,Giant
62730,7.79,3.99,1.12,1.01,G5,Unknown
62731,6.98,3.66,0.88,1.32,K1III,Giant
62732,5.99,7.01,0.76,-0.098,B7/B8V,Dwarf
62733,9.25,15.26,1.38,0.724,G6V,Dwarf
62734,6.14,16.62,0.72,0.232,A0III,Giant
62735,8.1,8.35,0.99,0.387,F3V,Dwarf
62736,8.56,2.4,1.03,1.329,K2III,Giant
62737,9.0,4.5,1.12,1.147,K0III,Giant
62738,8.43,7.42,1.21,0.348,A3,Unknown
62739,7.65,3.15,0.67,0.3,A7V,Dwarf
62740,9.91,25.14,1.74,1.182,K2V,Dwarf
62741,9.17,6.23,1.42,0.271,A3,Unknown
62742,8.25,4.38,1.08,1.208,G8/K0III/IV,Giant
62743,8.87,0.75,1.32,0.094,A0V,Dwarf
62744,8.8,1.94,1.46,1.446,K5III,Giant
62745,6.31,6.81,0.72,0.04,A0IV,Giant
62746,8.32,15.22,1.17,0.62,G1V,Dwarf
62747,9.05,7.1,1.03,0.498,F5V,Dwarf
62748,8.65,6.89,1.19,0.459,F5,Unknown
62749,7.95,1.92,1.08,1.332,K1III,Giant
62750,9.37,7.98,1.75,0.727,G3V,Dwarf
62751,9.04,5.2,1.3,0.548,F3V,Dwarf
62752,8.87,12.48,1.37,0.546,F8V,Dwarf
62753,7.74,1.71,0.9,1.45,K5,Unknown
62754,6.32,1.78,0.84,1.622,M0III,Giant
62755,8.48,22.09,1.07,0.616,G3V,Dwarf
62756,7.95,8.72,0.92,0.282,A2,Unknown
62757,8.71,-0.72,1.28,1.624,K5III:,Giant
62758,9.09,7.2,1.31,0.429,F5,Unknown
62759,9.01,2.19,1.2,0.99,G8III,Giant
62760,8.68,-0.18,1.17,0.96,G5,Unknown
62761,10.74,4.59,1.8,0.804,G0V,Dwarf
62762,8.48,18.78,0.98,0.632,G0,Unknown
62763,9.33,7.8,1.73,0.484,F6V,Dwarf
62764,8.68,3.23,1.16,0.463,F4V,Dwarf
62765,7.86,3.65,0.95,-0.045,B8IV,Giant
62766,6.93,8.21,0.87,0.565,F8,Unknown
62767,6.26,2.99,0.8,1.106,G8Ib/II,Giant
62768,8.81,2.14,1.22,1.044,G9IIICN...,Giant
62769,8.39,0.94,0.97,-0.007,B8V,Dwarf
62770,10.18,-0.22,1.93,0.442,F0,Unknown
62771,6.29,8.95,0.75,0.173,A7V,Dwarf
62772,10.06,3.11,1.43,0.431,F8,Unknown
62773,9.36,5.3,2.15,1.377,R...,Unknown
62774,8.89,0.67,1.28,1.16,K1III,Giant
62775,7.86,0.45,0.86,-0.052,B0.5III,Giant
62776,11.06,17.32,7.65,1.01,Unknown,Unknown
62777,9.48,6.83,2.31,1.072,G0,Unknown
62778,10.24,1.98,1.47,0.394,F2,Unknown
62779,8.82,3.25,1.31,1.37,K3III,Giant
62780,7.54,3.77,1.05,0.993,K0III,Giant
62781,7.86,4.07,0.96,0.918,G5,Unknown
62782,8.51,5.62,1.16,0.284,A8/A9IV,Giant
62783,8.61,3.06,0.97,1.115,G5,Unknown
62784,9.72,5.91,1.64,0.508,F8,Unknown
62785,8.65,13.8,0.85,0.581,G0,Unknown
62786,10.44,2.93,1.85,0.311,B3,Unknown
62787,8.37,14.09,0.91,0.574,F8/G0V,Dwarf
62788,10.23,4.15,8.84,0.472,G0,Unknown
62789,8.5,5.8,1.08,0.43,F3V,Dwarf
62790,8.67,1.34,1.21,1.245,K2,Unknown
62791,7.99,3.25,1.25,1.373,K2III/IV,Giant
62792,9.6,4.52,1.23,0.545,G0,Unknown
62793,9.46,28.08,1.44,1.08,K1V,Dwarf
62794,7.92,2.95,0.75,0.235,A5,Unknown
62795,8.74,3.08,1.18,0.941,G5,Unknown
62796,9.43,14.97,0.98,0.752,G5,Unknown
62797,9.11,3.17,1.18,0.781,G5,Unknown
62798,7.92,6.77,1.87,0.462,F5+...,Unknown
62799,7.55,1.31,1.07,1.598,M1/M2III,Giant
62800,8.9,10.76,1.06,0.501,F5,Unknown
62801,9.26,0.06,1.41,1.04,G9III,Giant
62802,9.68,5.01,1.06,0.475,F2,Unknown
62803,7.66,18.22,0.9,0.623,G0IV,Giant
62804,9.51,10.99,1.42,0.504,G0,Unknown
62805,10.21,29.75,1.65,1.11,K8,Unknown
62806,7.66,17.11,1.02,0.511,F8V,Dwarf
62807,5.91,8.61,0.69,1.309,K3III,Giant
62808,9.01,1.54,1.16,0.161,B9.5V,Dwarf
62809,8.96,1.02,1.16,1.502,K3III,Giant
62810,8.88,8.75,0.97,0.585,F8V,Dwarf
62811,8.36,2.57,0.95,1.465,K1III,Giant
62812,9.1,4.27,1.35,1.062,G8IV,Giant
62813,4.33,10.77,0.64,1.344,K3/K4III,Giant
62814,9.15,-1.51,3.21,0.924,G8III/IV,Giant
62815,8.29,7.38,0.87,0.438,F5IV-V,Giant
62816,9.4,5.53,1.21,0.626,F8,Unknown
62817,8.76,13.63,1.28,0.576,G0V,Dwarf
62818,7.61,15.2,0.95,0.478,F6V,Dwarf
62819,10.15,0.83,1.99,0.91,G9III,Giant
62820,7.96,5.54,1.02,0.144,A2,Unknown
62821,6.11,30.75,0.78,0.493,F5V,Dwarf
62822,7.57,2.3,0.73,1.461,K2,Unknown
62823,9.81,2.09,1.52,1.31,K2,Unknown
62824,8.02,5.62,1.12,1.03,K0III,Giant
62825,9.03,4.44,1.28,1.3,K2,Unknown
62826,6.85,3.17,0.94,1.526,K3III,Giant
62827,8.01,5.47,1.01,0.352,F0V,Dwarf
62828,8.36,12.48,1.38,0.55,F7V,Dwarf
62829,7.83,5.38,0.91,1.172,K0III,Giant
62830,8.8,9.25,1.4,0.452,G0,Unknown
